,document_id,text,ner,ner_type,ner_begin,ner_end,sentiment
38,86509,"Mijatović: Vjerujem u Mihajlovića, želim mu sreću u Zagrebu",Mijatović,PER,0,9,Sentiment - NEUTR
39,47852,HRT platio milijun kuna fiktivnim članovima Orkestra,Orkestra,ORG,44,52,Sentiment - NEG
40,123532,"[FOTO] Modna revija u Zagrebu privukla brojna poznata lica: Iz prvih redova je pratile Indira, Lidija Bačić i Mia Kovačić",Lidija Bačić,PER,95,107,Sentiment - POZ
41,102792,"Odlazi Kuščević? Odlazi HNS? Puno je opcija, no jedna je najizglednija, riječ je o Plenkovićevu prokušanom receptu",Kuščević,PER,7,15,Sentiment - NEUTR
42,103093,Turci slave 'otomanskog potomka' na čelu Velike Britanije,Velike Britanije,LOC,41,57,Sentiment - NEUTR
43,63666,Antun Ivanković: Ultimatum stranke koju je osnovao ratni zločinac Goran Hadžić – narod.hr,Goran Hadžić,PER,66,78,Sentiment - NEG
44,42616,"Rekordni brojevi oboljelih diljem Europe, ali i u susjednoj Sloveniji i BiH",Sloveniji,LOC,60,69,Sentiment - NEUTR
45,73930,"Prosječna plaća u Zagrebu viša u ožujku, i veća no u ostatku države",Zagrebu,LOC,18,25,Sentiment - POZ
46,137183,Saponia dogovorila suradnju s agencijom Bruketa&Žinić&Grey na brendovima Faks helizim i Ornel,Saponia,ORG,0,7,Sentiment - POZ
47,98023,"Popularna SDP-ovka o stanju u stranci: Ovako ne ide, situacija je neodrživa!",SDP,ORG,10,13,Sentiment - POZ
48,25798,'Hribar bi trebao odgovarati za silne pronevjerene milijune',Hribar,PER,1,7,Sentiment - NEG
49,131843,Ivan Perišić strijelac u Interovoj pobjedi protiv Genoe,Genoe,ORG,50,55,Sentiment - NEUTR
50,60090,Kapetan Dinama poslao snažnu poruku: ‘Ne plašimo se Hajduka! A imamo samo jedan način za resetiranje...‘,Dinama,ORG,8,14,Sentiment - POZ
51,96626,"Ivana Trump: 'Suosjećam s Melanijom, no ja sam se od Trumpa razvela istog trena kada sam doznala za prevaru'",Ivana Trump,PER,0,11,Sentiment - NEUTR
52,27945,Lauc: Te zabrane su potpuno promašene i nepotrebne,Lauc,PER,0,4,Sentiment - NEUTR
53,50390,Mourinho se zakačio s igračem WBA-a: 'Ti si jedan običan Mickey Mouse igrač!',WBA-a,ORG,30,35,Sentiment - NEUTR
54,43003,"Ludnica u Bjelorusiji: BATE prosuo titulu, Šahtjor do naslova u sudačkoj nadoknadi",Bjelorusiji,LOC,10,21,Sentiment - NEUTR
55,116545,"Sergio Ramos u suzama se opraštao od Reala, a na kraju ga je provokativno pitanje dotuklo; ovakvu reakciju nitko nije očekivao...",Reala,ORG,37,42,Sentiment - NEUTR
56,121150,"Galić: I u Hrvatsku će se preliti fenomen masovnih otkaza, i to najviše u ovom sektoru. Poslodavci će morati poboljšati uvjete",Galić,PER,0,5,Sentiment - NEUTR
57,90609,Potvrđena optužnica u aferi 'Nadstrešnice',Nadstrešnice,MISC,29,41,Sentiment - NEG
58,121130,"Hajduk ide na najteže gostovanje; u Velikoj Gorici su 'bili' slavili samo jednom, a trener Dambrauskas ima poseban plan za Lovrića",Hajduk,ORG,0,6,Sentiment - NEUTR
59,46777,Nova snimka borbe azovaca i Rusa u čeličani. Ruski oligarh: Putin je smrtno bolestan,Putin,PER,60,65,Sentiment - NEG
60,41833,Sjedinjene Američke Države poslale Ukrajini suvremeni protutenkovski sustav,Sjedinjene Američke Države,LOC,0,26,Sentiment - POZ
61,55978,Hrvati će od lipnja s eReceptom lijekove moći podizati u EU,Hrvati,PER,0,6,Sentiment - NEUTR
62,103890,"Bernardić: HVIDRA je povezana s vrhom HDZ-a, čini se da hajka na SDSS dolazi iz same vladajuće koalicije",HVIDRA,ORG,11,17,Sentiment - NEG
63,100593,Kuščević o aferi SMS: U HDZ-u nema podjela,HDZ,ORG,24,27,Sentiment - NEUTR
64,5552,Čehok se vraća s listom 'Glas za Varaždin': Ideologija nas ne zanima,Glas za Varaždin,MISC,25,41,Sentiment - NEUTR
65,110985,"Josipa Rimac danas izlazi iz zatvora, evo što kaže odvjetnica",Josipa Rimac,PER,0,12,Sentiment - NEUTR
66,14573,Strašna prometna nesreća na A1: Poginule tri osobe,A1,LOC,28,30,Sentiment - NEUTR
67,125252,Zbog Arene medvjede bi mogli baciti iz EBEL-a,medvjede,MISC,11,19,Sentiment - NEG
68,13451,Pošalji nam najzanimljiviju priču koju su doživjele tvoje stare tenisice i osvoji nove Reebok Club C,Reebok Club C,MISC,87,100,Sentiment - POZ
69,36174,"Beckenbauer priznao da je slao novac FIFA-i, ali kaže da to nije mito",FIFA-,ORG,37,42,Sentiment - NEG
70,17044,"Iz MUP-a dodatno objasnili tko se i kada bez testa i izolacije može vratiti u Hrvatsku iz Srbije, BiH i Crne Gore",Hrvatsku,LOC,78,86,Sentiment - NEUTR
71,25150,Američki nosač zrakoplova USS Harry S. Truman stigao u Split,Split,LOC,55,60,Sentiment - NEUTR
72,83129,"Modrić presudio 'bluesu', Fulham šokirao Fergusona",Fulham,ORG,26,32,Sentiment - NEUTR
73,92480,SAD će zabraniti unošenje prijenosnih računala u zrakoplove na svim međunarodnim letovima?,SAD,LOC,0,3,Sentiment - NEG
74,119883,"Izraelci udarili na benzinske pumpe u Teheranu, Iranci uzvratili napadom na aplikacije za upoznavanje. Može li hakerski rat prerasti u pravi vojni sukob?",Iranci,PER,48,54,Sentiment - NEUTR
75,124052,"Zbog velikih razlika u troškovima zaduživanja članica eurozone, ECB želi uvesti ograničenja: Trebaju se odrediti striktni uvjeti za pomoć",ECB,ORG,64,67,Sentiment - NEUTR
76,59243,"Radić favorit za gradonačelnika, a za većinu u Vijeću HDZ-u će trebati ‘žetončići‘ kao i u parlamentu",Vijeću,ORG,47,53,Sentiment - NEUTR
77,6650,"Berndardić na Praznik rada o minimalnoj plaći, odnosima sa Srbijom i Slovenijom te glasnogovorniku Zeliću",Slovenijom,LOC,69,79,Sentiment - NEUTR
78,63095,"Petrov: Ako se bude išlo na prodaju dijela dionica HEP-a za INA-u, zalažemo se za ustavne promjene – narod.hr",INA-,ORG,60,64,Sentiment - POZ
79,36984,Počelo snimanje povijesnog reality spektakla: Kralj Tomislav i knez Krševan zauzeli Ribnik,Ribnik,LOC,84,90,Sentiment - NEUTR
80,124007,Rijeka sprema dva senzacionalna transfera; na Rujevicu stižu bivše zvijezde Dinama koje žele oživjeti svoje karijere,Rijeka,ORG,0,6,Sentiment - POZ
81,11028,Vućić se prisjetio kako je tukao BBB u Zagrebu: Prvi incident dogodio se već u Vinkovcima i taj je bio gadniji nego inače. Odmah smo svi znali da se spremaju neredi,Zagrebu,LOC,39,46,Sentiment - NEUTR
82,19064,BARCELONA NEĆE 160 MILIJUNA VRIJEDNO POJAČANJE: Prekrižili su i zvijezdu susjeda - Dnevno.hr,BARCELONA,ORG,0,9,Sentiment - NEG
83,83220,Volkswagen i BMW prelaze na trocilindraše,Volkswagen,ORG,0,10,Sentiment - NEUTR
84,28657,Navijači ismijavaju novu frizuru Raheema Sterlinga,Raheema Sterlinga,PER,33,50,Sentiment - NEG
85,66823,Potpisao ugovor s europskim velikanom nakon dominacije u Kini,Kini,LOC,57,61,Sentiment - NEUTR
86,12465,Nogometaši Dinama predstavili humanitarnu akciju!,Dinama,ORG,11,17,Sentiment - POZ
87,5121,SOA: Tomislav Karamarko nikada nije bio suradnik Udbe,SOA,ORG,0,3,Sentiment - NEUTR
88,119845,"Uzeo je Lewisu Hamiltonu titulu, nedugo zatim izazvao jedan od najvećih šokova u Formuli 1 ikad, a prošle godine došao je na suludu ideju koja se srećom nije ostvarila",Formuli 1,ORG,81,90,Sentiment - NEUTR
89,78821,"Banovina je milijunski posao nasred Žnjana dala županijskoj tvrtki: ugovor je na stolu, paljenje bagera na pomorskom dobru još ‘u zraku‘",Žnjana,LOC,36,42,Sentiment - NEUTR
90,25270,"Škotska zbog ""brexita"" ponovo razmatra izlazak iz UK",UK,LOC,50,52,Sentiment - NEG
91,2769,Direktor Splitskog festivala: 'Žiri je svake godine u problemu zbog odabira pravih pjesama',Splitskog festivala,MISC,9,28,Sentiment - NEUTR
92,71958,"Putin mora u samoizolaciju, otkazao putovanje u Tadžikistan - Novi list",Putin,PER,0,5,Sentiment - NEUTR
93,45109,"Grubnić fotkao i uredio Martinu Tomčić, ljudi joj pišu da izgleda predivno",Grubnić,PER,0,7,Sentiment - POZ
94,35929,"E, to se zove peglanje: Lupita otkrila svoj neobični trik za lijepu kosu",Lupita,PER,24,30,Sentiment - POZ
95,89318,Jedinstvena ponuda Qatar Airwaysa za više od 150 odredišta,Qatar Airwaysa,ORG,19,33,Sentiment - POZ
96,95663,"Jakov Fak doživio potpuni debakl, Fourcade došao na svoje!",Fourcade,PER,34,42,Sentiment - POZ
97,75851,Guardiola: 'Nemoguće je pronaći pravu zamjenu za Aguera',Guardiola,PER,0,9,Sentiment - NEUTR
98,115399,Rusija kaže da je počela povlačiti vojnike s Krima nakon vježbi,Krima,LOC,45,50,Sentiment - NEUTR
99,43880,Pirlo i Tudor odlaze? Otkriveno s kojim je trenerom sinoć gazda Juvea gledao utakmicu,Pirlo,PER,0,5,Sentiment - NEUTR
100,93562,Nives Celzijus o novom izazovu: 'Budim se jako rano i to mi najteže pada',Nives Celzijus,PER,0,14,Sentiment - NEUTR
101,109015,Osijek teškom mukom slomio Inter; Zaprešićanima presudio prvi 'topnik' HT Prve lige te ih gurnuo još više prema Drugoj ligi,Inter,ORG,27,32,Sentiment - NEUTR
102,24838,Putin prvi put progovorio o aneksiji Krima,Krima,LOC,37,42,Sentiment - NEUTR
103,101092,Pogledajte kako su 'čelične ptice' ometale Irce protiv slabašnog Gibraltara,Irce,PER,43,47,Sentiment - NEUTR
104,45797,Spektakl u Areni Zagreb: Grupa Kiss nastupom oduševila publiku,Kiss,ORG,31,35,Sentiment - POZ
105,85500,Slovenac pored Babine Grede 'letio' 247 na sat,Babine Grede,LOC,15,27,Sentiment - NEUTR
106,71269,"Umro Carlos do Carmo, “Sinatra” portugalskog fada",Carlos do Carmo,PER,5,20,Sentiment - POZ
107,121704,"Slavni borbeni pilot Ivan Selak za tportal: Ne šaljite avione u Ukrajinu, njihovi zrakoplovi su Putinovi glineni golubovi!",Ukrajinu,LOC,64,72,Sentiment - NEG
108,65415,U Vinkovcima provaljeno u ured Nikole Kajkića - istražitelja srpskih ratnih zločina – narod.hr,Vinkovcima,LOC,2,12,Sentiment - NEUTR
109,83125,Umro je Vladimir Savčić Čobi,Vladimir Savčić Čobi,PER,8,28,Sentiment - NEUTR
110,55491,ŠEFICA POVJERENSTVA ZA ODLUČIVANJE O SUKOBU INTERESA POTVRDILA 'Razmotrit ćemo pokretanje novog postupka protiv Zdravka Marića',Zdravka Marića,PER,112,126,Sentiment - NEG
111,14413,REINER UVJEREN 'Većina zastupnika će glasovati za Karamarka',Karamarka,PER,50,59,Sentiment - POZ
112,97240,"Tres Chic i CineLady - najbolje filmske večeri za žene u Zagrebu, Splitu, Rijeci i Osijeku",Tres Chic,MISC,0,9,Sentiment - POZ
113,67994,Na Jadran ih se već sprema 15 tisuća; Poznato je i kad kreće prvi vlak prema Rijeci i Splitu,Jadran,LOC,3,9,Sentiment - NEUTR
114,61142,UŽIVO: Započeo je spektakl u Saudijskoj Arabiji! Joshua traži osvetu protiv Usyka,Joshua,PER,49,55,Sentiment - POZ
115,29077,Pop zvijezda Lorde premijerno u Šibeniku sljedeće godine,Lorde,ORG,13,18,Sentiment - POZ
116,4955,Migranti skriveni ispod kamiona pokušali ući iz Srbije u Hrvatsku,Hrvatsku,LOC,57,65,Sentiment - NEUTR
117,131473,Divjak: Neki su napunili skladišta knjigama primjerenijima 19. stoljeću,Divjak,PER,0,6,Sentiment - NEUTR
118,10073,ŠOK ZA JAPAN Paliteljica olimpijskog plamena Osaka zapela u osmini finala teniskog turnira,JAPAN,LOC,7,12,Sentiment - NEG
119,114012,Tportal doznaje: USKOK preuzeo slučaj Spaladium arene,Tportal,ORG,0,7,Sentiment - NEUTR
120,109352,Bauk: Bilo bi dobro da se ide u smjeru jednog kandidata za novog predsjednika stranke,Bauk,PER,0,4,Sentiment - NEUTR
121,42005,Mateša: Kolindi je za izbor u MOO pomoglo to što je žena,MOO,ORG,30,33,Sentiment - NEG
122,80524,"Stipe se samo smije: ‘Latković i ja kumovi? Jesam, kao i Macron s Buljem! Kad sam ja prije 20 godina bio na Vruji, tamo nije bilo ničega!‘",Buljem,PER,66,72,Sentiment - NEG
123,80538,"Milanović izvrijeđao Dežulovića, a ‘zakačio‘ je, bome, i sve Dalmatince: Rođen je i živi u ekstatičnom bonusu Dalmacije. Tamo i budale djeluju bistro",Dalmacije,LOC,110,119,Sentiment - NEG
124,14771,Ševčenko ipak neće nazad u Milan,Ševčenko,PER,0,8,Sentiment - NEUTR
125,93561,Agrokorove kompanije založile sve što Todorić nije kako bi osigurale kredit,Todorić,PER,38,45,Sentiment - NEG
126,121305,[FOTO] Israel Adesanya ostao kralj UFC-a srednje kategorije; u okršaju teškaša 'Bam Bam' nokautirao 'Crnu zvijer',Bam Bam,PER,80,87,Sentiment - POZ
127,26557,Novinari bojkotirali pressicu Željka Glasnovića - N1,Željka Glasnovića,PER,30,47,Sentiment - NEG
128,25856,Hrvatica iz Alvarezovog tima bila je zvijezda popularnog reality showa!,Hrvatica,PER,0,8,Sentiment - POZ
129,51247,"KEK OPREZAN 'Rijeka nije favorit, ali možemo se ravnopravno nositi sa svima'",KEK,PER,0,3,Sentiment - NEUTR
130,68793,Procurio novi dizajn Chelsejeva dresa. Navijači su ogorčeni,Chelsejeva,ORG,21,31,Sentiment - NEG
131,100521,Kovač najavio poteze za koje drugi treneri Bayerna nisu imali hrabrosti: Brat i ja to možemo...,Kovač,PER,0,5,Sentiment - POZ
132,112745,[FOTO] Svake godine troše tisuće kuna na ukrase: Božićna bajka obitelji Perlaska u Gradcu oštra je konkurencija imanju Salaj,Salaj,ORG,119,124,Sentiment - POZ
133,38023,Fred Matić otkrio Indexu zašto odlazi iz Hrvatske,Fred Matić,PER,0,10,Sentiment - NEUTR
134,87266,Sviđa li vam se ženstvenost Marije Cvitanović?,Marije Cvitanović,PER,28,45,Sentiment - POZ
135,28494,EK najavljuje zakon da zračnim prijevozniciima omogući zadržavanje 'slotova',EK,ORG,0,2,Sentiment - NEUTR
136,129246,Pjesma 'Help' legendarnih Beatlesa ne prestaje me opsjedati!,Help,MISC,8,12,Sentiment - POZ
137,135538,"U Gavellu stiže ""Emet"" HNK Osijek, najbolja predstava lanjskih Marulićevih dana",Emet,MISC,17,21,Sentiment - POZ
138,106906,"Prva meteorologinja u pjevačkom natjecanju, Kristina Klemenčić Novinc, ima glazbeno obrazovanje, a otkrila nam je da najviše strahuje od Tonyja Cetinskog",Tonyja Cetinskog,PER,137,153,Sentiment - NEG
139,34495,Overeem priznao: Big Foot me brutalno nokautirao jer sam ga podcijenio!,Overeem,PER,0,7,Sentiment - NEUTR
140,32455,"EP, U20: Batur i Delaš ""riješili"" Italiju, Hrvatska u četvrtfinalu ide na Srbiju",Hrvatska,LOC,43,51,Sentiment - POZ
141,53836,BROJKE SU ZAISTA NEVJEROJATNE Rijeka je momčad s kojom napada titulu platila koliko i Dinamo desnog beka,Rijeka,ORG,30,36,Sentiment - POZ
142,99415,Simultanka Jacoba Pullena; sjajni Amerikanac Slovencima je 'utrpao' čak 41 koš,Slovencima,PER,45,55,Sentiment - NEG
143,16276,Šefica novozagrebačkog centra za socijalnu skrb otkrila što će biti s bebom koju je ubojica s Kajzerice jedinu poštedio,Kajzerice,LOC,94,103,Sentiment - NEUTR
144,18397,"OKUPILI SE KAUBOJI! Zagreb prva postaja prema Svjetskom prvenstvu u Egiptu, a onda u Poreč na prvu fazu priprema",Poreč,LOC,85,90,Sentiment - NEUTR
145,121901,"Barca s nulom putuje u vrući Istanbul, ljepotica večeri odigrana u Bergamu",Barca,ORG,0,5,Sentiment - POZ
146,88824,U Italiji javni dug 156 posto BDP-a,Italiji,LOC,2,9,Sentiment - NEG
147,125357,Evra: A još nedavno govorili su da se carstvo Uniteda urušava,Uniteda,ORG,46,53,Sentiment - POZ
148,43905,Nakon poraza od Reala tri igrača Liverpoola na meti rasističkog iživljavanja,Liverpoola,ORG,33,43,Sentiment - NEUTR
149,134611,"Drama u Ježdovcu: Vezali se i lancem za dizalicu, ne žele Tele2 antene",Tele2,ORG,58,63,Sentiment - NEG
150,122651,HGK pripema indeks cijena materijala za pomoć građevinarima,HGK,ORG,0,3,Sentiment - POZ
151,138255,Vinkovačko kazalište Joza Ivakić ustrojilo nagradu 'Joza',Joza Ivakić,ORG,21,32,Sentiment - POZ
152,99221,Nakon Macrona i Merkel pozvala na izgradnju europske vojske,Macrona,PER,6,13,Sentiment - NEUTR
153,77319,Obama u intervjuu princu Harryju upozorio da internet može voditi balkanizaciji društva,Harryju,PER,25,32,Sentiment - NEUTR
154,31005,Premijer Račan ne želi komentirati presudu Mirku Norcu i tzv. gospićkoj skupini,Mirku Norcu,PER,43,54,Sentiment - NEG
155,24383,ZL Osijek: Krajem ožujka linije za Dubrovnik i Split,Split,LOC,47,52,Sentiment - NEUTR
156,57083,"Njemački regulator kaznio BMW, Volkswagen i Daimler: 'To je kartelsko udruživanje'",Volkswagen,ORG,31,41,Sentiment - NEG
157,130855,Večernji u Guti: 'Bojali smo se da nam još i Trump ne pošalje svoje 'pametne i lijepe' projektile',Guti,LOC,11,15,Sentiment - NEUTR
158,3590,Sramota: Milanoviću za sastanak s Kolindom trebalo puna dva mjeseca,Milanoviću,PER,9,19,Sentiment - NEG
159,133804,"Umro glumac Robert Vaughn, posljednji od 'Sedmorice veličanstvenih'",Sedmorice veličanstvenih,MISC,42,66,Sentiment - NEUTR
160,10837,"Četvrtfinale izborili i Roma, Slavija, Feyenoord, PAOK i Bodo/Glimt",Bodo/Glimt,ORG,57,67,Sentiment - POZ
161,25954,Ramljak o prvih 100 dana na čelu Agrokora: Zadovoljan sam,Agrokora,ORG,33,41,Sentiment - NEUTR
162,18238,Nina Badrić srušila Instagram: Objavila fotografiju na kojoj su je usporedili sa Sophiom Loren!,Sophiom Loren,PER,81,94,Sentiment - POZ
163,104009,Predsjednik UFC-a potvrdio s kime Stipe Miočić ulazi u kavez; sve vodi prema tome epskom okršaju,Stipe Miočić,PER,34,46,Sentiment - POZ
164,74574,'To je ključ svih ključeva': Čović tvrdi da zna što je potrebno za ustroj vlasti u BiH,Čović,PER,29,34,Sentiment - POZ
165,113249,Pleter: Zar su 'državni kuhari' manje vrijedni? Nisu našli vremena slikati se na društvenim mrežama. Besplatni rad obezvrjeđuje struku,Pleter,PER,0,6,Sentiment - NEUTR
166,113839,[FOTO] Pobjednički povratak Darija Šarića nakon mjesec dana izbivanja; odličan nastup i Bojana Bogdanovića u slavlju Utaha,Utaha,ORG,117,122,Sentiment - POZ
167,15077,"Zack de la Rocha psovao, BBC se ispričavao",Zack de la Rocha,PER,0,16,Sentiment - NEG
168,90467,Šeks: Najgnjusnija je laž da su Tuđman i Milošević podijelili BiH,Milošević,PER,41,50,Sentiment - NEG
169,105556,Splitsko Gradsko vijeće odbilo raspravu o presudi u 'slučaju Knežević',Splitsko Gradsko vijeće,ORG,0,23,Sentiment - NEG
170,117236,"Istarski grad pred novim je izborima, a Milanović tvrdi da DIP nema predsjednika. Što sad? Postoji i dodatni problem...",Milanović,PER,40,49,Sentiment - NEUTR
171,99402,Bottas bacio rukavicu u lice Hamiltonu i Red Bullu u Abu Dhabiju,Abu Dhabiju,LOC,53,64,Sentiment - NEUTR
172,48995,Talijanska policija uhitila Hrvata koji je ubio beskućnika?,Hrvata,PER,28,34,Sentiment - NEG
173,8541,"Inzko: Odluka Ustavnog suda bit će provedena, Republika Srpska ne može se odcijepiti",Republika Srpska,LOC,46,62,Sentiment - NEG
174,52967,"Most je projekt Crkve, koja ovom HDZ-u ne vjeruje",HDZ-u,ORG,33,38,Sentiment - NEG
175,32473,"Ribič iz Drave izvukao piranju: ""Ima ih još!""",Drave,LOC,9,14,Sentiment - NEUTR
176,105130,[VIDEO] Uslijed nevremena u Italiji se urušio vijadukt na autocesti A6,Italiji,LOC,28,35,Sentiment - NEUTR
177,42211,"Većina Britanaca, Francuza i Nijemaca neće na odmor ako su maske i testiranja obvezni",Francuza,PER,18,26,Sentiment - NEUTR
178,25064,Volkswagen skandal mogao bi u kina zahvaljujući Leonardu DiCapriju,Leonardu DiCapriju,PER,48,66,Sentiment - POZ
179,88540,Netanyahu suočen s velikim apetitima partnera,Netanyahu,PER,0,9,Sentiment - NEUTR
180,125598,"Oluja Irina poharala Madagaskar, poginulo najmanje 65 osoba",Madagaskar,LOC,21,31,Sentiment - NEUTR
181,35476,"""Kokoška"" Une Gunjak osvojila europskog Oscara",Une Gunjak,PER,10,20,Sentiment - POZ
182,2571,Očitovanje KBC Rijeka o slučaju trudnice iz Ičića: 'Interna tijela nisu uočila propust ginekologa',KBC Rijeka,ORG,11,21,Sentiment - NEG
183,21556,Koka i Dalmatinka važnije su od Kupa,Dalmatinka,ORG,7,17,Sentiment - POZ
184,24964,Igrač Aston Ville pijan spavao na ulicama Tenerifa,Aston Ville,ORG,6,17,Sentiment - NEG
185,137252,Malenica: Očekujemo dokumentaciju Uskoka za izručenje braće Mamić Hrvatskoj,Mamić,PER,60,65,Sentiment - NEG
186,62688,"General Krstičević: Oluja je simbol junaštva, a tajna te pobjede je u našim ljudima – narod.hr",Oluja,MISC,20,25,Sentiment - POZ
187,126302,Zavirite u spektakularnu Will Smith prikolicu Vrućina!,Vrućina,MISC,46,53,Sentiment - POZ
188,98507,Maestralna akcija Realove zvijezde neslavno završila; bio je to zaista drzak pokušaj o kojem bruji internet,Realove,ORG,18,25,Sentiment - NEUTR
189,115599,Nova ljevica: Plenković u borbi protiv ekstremizma treba 'pogledati u svoje gnijezdo',Plenković,PER,14,23,Sentiment - NEG
190,3450,Torcida se na dojmljiv način sjetila žrtve Vukovara,Vukovara,LOC,43,51,Sentiment - POZ
191,12043,"Nastavlja se suđenje Tadiću, svjedoči njegova supruga",Tadiću,PER,21,27,Sentiment - NEUTR
192,71739,Ruske nuklearne snage provode intenzivne vježbe blizu Moskve. Koriste i moćne interkontinentalne rakete - Novi list,Moskve,LOC,54,60,Sentiment - NEUTR
193,119562,"Puljak: Koronavirus je trenutno najveći neprijatelj Hrvatske, poštujmo odluke države",Hrvatske,LOC,52,60,Sentiment - NEUTR
