document_id,text,ner_tag_text,ner,ner_type,ner_begin,ner_end,target_order,Sentiment - NEG,Sentiment - NEUTR,Sentiment - POZ,aggregated_sentiment,Ton - NEG,Ton - NEUTR,Ton - POZ,aggregated_tone,Sentiment - COUNT,Ton - COUNT,Sentiment - MAX,Ton - MAX,Ton - SECOND,Sentiment - SECOND
95214,Bandić: Informatika se u škole uvodi da bi se izbacio vjeronauk,<strong>Bandić</strong>: Informatika se u škole uvodi da bi se izbacio vjeronauk,Bandić,PER,0,6,0,1.0,5.0,0.0,Sentiment - NEUTR,5.0,1.0,0.0,Ton - NEG,6.0,6.0,5.0,5.0,1.0,1.0
28493,SAD koristi zrakoplove za prisluškivanje građana,<strong>SAD</strong> koristi zrakoplove za prisluškivanje građana,SAD,LOC,0,3,0,6.0,0.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
85982,Adele je snimila najbolju temu za Bonda – ikada!,<strong>Adele</strong> je snimila najbolju temu za Bonda – ikada!,Adele,PER,0,5,0,0.0,1.0,5.0,Sentiment - POZ,0.0,0.0,6.0,Ton - POZ,6.0,6.0,5.0,6.0,0.0,1.0
11938,Jessica Alba: Neodoljive nasljednice po uzoru na mamu,<strong>Jessica Alba</strong>: Neodoljive nasljednice po uzoru na mamu,Jessica Alba,PER,0,12,0,0.0,2.0,4.0,Sentiment - POZ,0.0,2.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,2.0,2.0
94062,Hrvatski vojnici ispraćeni u NATO misiju na sjeveru Poljske,Hrvatski vojnici ispraćeni u NATO misiju na sjeveru <strong>Poljske</strong>,Poljske,LOC,52,59,0,0.0,6.0,0.0,Sentiment - NEUTR,1.0,4.0,1.0,Ton - NEUTR,6.0,6.0,6.0,4.0,1.0,0.0
30901,predsjednik Mesić na radnom odmoru na Hvaru,predsjednik Mesić na radnom odmoru na <strong>Hvaru</strong>,Hvaru,LOC,38,43,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,4.0,2.0,Ton - NEUTR,6.0,6.0,5.0,4.0,2.0,1.0
112344,"Poznata glumica koja je bila nominirana za nagradu Oscar, objavila da se odsad zove Elliot Page","Poznata glumica koja je bila nominirana za nagradu Oscar, objavila da se odsad zove <strong>Elliot Page</strong>",Elliot Page,PER,84,95,0,1.0,4.0,1.0,Sentiment - NEUTR,1.0,5.0,0.0,Ton - NEUTR,6.0,6.0,4.0,5.0,1.0,1.0
16642,"Real Madrid šokiran u vrućoj Sevilli: Betis srušio Kraljeve, Barca opet prva","Real Madrid šokiran u vrućoj Sevilli: <strong>Betis</strong> srušio Kraljeve, Barca opet prva",Betis,ORG,38,43,0,1.0,1.0,4.0,Sentiment - POZ,1.0,2.0,3.0,Ton - POZ,6.0,6.0,4.0,3.0,2.0,1.0
49310,VIDEO 'Što znate o prvih 6 mjeseci Vlade?': Vlada se pohvalila poreznom reformom,VIDEO 'Što znate o prvih 6 mjeseci Vlade?': <strong>Vlada</strong> se pohvalila poreznom reformom,Vlada,ORG,44,49,0,1.0,1.0,4.0,Sentiment - POZ,1.0,1.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,1.0,1.0
28829,"Vučetić: Kalmeta je nemoćan, može opstati samo u lancu stranačke poslušnosti","<strong>Vučetić</strong>: Kalmeta je nemoćan, može opstati samo u lancu stranačke poslušnosti",Vučetić,PER,0,7,0,2.0,4.0,0.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,4.0,6.0,0.0,2.0
85571,Adriano tuži klub jer je poslan na mršavljenje,<strong>Adriano</strong> tuži klub jer je poslan na mršavljenje,Adriano,PER,0,7,0,1.0,4.0,1.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,4.0,6.0,0.0,1.0
64760,"24. studenoga 2000. Zagrebački summit - kako su Mesić i Chirac htjeli vratiti Hrvatsku u ""region Zapadnog Balkana""? – narod.hr","24. studenoga 2000. Zagrebački summit - kako su Mesić i Chirac htjeli vratiti <strong>Hrvatsku</strong> u ""region Zapadnog Balkana""? – narod.hr",Hrvatsku,LOC,78,86,0,0.0,4.0,2.0,Sentiment - NEUTR,4.0,2.0,0.0,Ton - NEG,6.0,6.0,4.0,4.0,2.0,2.0
126952,Lovrić Prekriški jutro dočekao potpuno odsječen od svijeta,<strong>Lovrić Prekriški</strong> jutro dočekao potpuno odsječen od svijeta,Lovrić Prekriški,PER,0,16,0,2.0,3.0,1.0,Sentiment - NEUTR,4.0,1.0,1.0,Ton - NEG,6.0,6.0,3.0,4.0,1.0,2.0
37471,Užasnu Oscar kombinaciju slavne Cher jučer je nadmašila još užasnija,Užasnu Oscar kombinaciju slavne <strong>Cher</strong> jučer je nadmašila još užasnija,Cher,PER,32,36,0,5.0,1.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
96038,"Ban Jelačić, Starčević i ekipa 'iskaču' iz mobitela? To je tek početak!","Ban Jelačić, <strong>Starčević</strong> i ekipa 'iskaču' iz mobitela? To je tek početak!",Starčević,PER,13,22,0,2.0,0.0,4.0,Sentiment - POZ,1.0,1.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,1.0,2.0
65326,Iranski šef diplomacije: 'Američka vojska nema što raditi u Perzijskom zaljevu' – narod.hr,Iranski šef diplomacije: '<strong>Američka vojska</strong> nema što raditi u Perzijskom zaljevu' – narod.hr,Američka vojska,ORG,26,41,0,6.0,0.0,0.0,Sentiment - NEG,5.0,1.0,0.0,Ton - NEG,6.0,6.0,6.0,5.0,1.0,0.0
25807,Hanover: Evakuacija zbog bombe iz 2. svjetskog rata,Hanover: Evakuacija zbog bombe iz <strong>2. svjetskog rata</strong>,2. svjetskog rata,MISC,34,51,0,4.0,2.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,4.0,6.0,0.0,2.0
129513,Splićanin Ivan Lendrić prelazi u francuski Lens,Splićanin Ivan Lendrić prelazi u francuski <strong>Lens</strong>,Lens,ORG,43,47,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,4.0,2.0,Ton - NEUTR,6.0,6.0,5.0,4.0,2.0,1.0
99015,"Realu bliski mediji tvrde: Lopetegui je bivši, a zna se i tko sjeda na klupu 'kraljeva'","Realu bliski mediji tvrde: Lopetegui je bivši, a zna se i tko sjeda na klupu '<strong>kraljeva</strong>'",kraljeva,ORG,78,86,0,0.0,2.0,4.0,Sentiment - POZ,1.0,4.0,1.0,Ton - NEUTR,6.0,6.0,4.0,4.0,1.0,2.0
82189,"Rat u Ukrajini ulazi u slijepu ulicu: Putin je u velikoj zabludi, ali se na Zapadu pojavljuju prvi znakovi ‘zamora Ukrajinom‘","Rat u Ukrajini ulazi u slijepu ulicu: <strong>Putin</strong> je u velikoj zabludi, ali se na Zapadu pojavljuju prvi znakovi ‘zamora Ukrajinom‘",Putin,PER,38,43,0,6.0,0.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
70931,SLUŽBENO Poznat datum povijesnog okršaja Miočića i Cormiera,SLUŽBENO Poznat datum povijesnog okršaja Miočića i <strong>Cormiera</strong>,Cormiera,PER,51,59,0,1.0,4.0,1.0,Sentiment - NEUTR,0.0,2.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,2.0,1.0
129854,Plenković napao Petrova: Kako je namamio vlasnika Agrokora u Vladu?,Plenković napao <strong>Petrova</strong>: Kako je namamio vlasnika Agrokora u Vladu?,Petrova,PER,16,23,0,5.0,1.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
103915,Krstičević: Ponosam sam na pilote helikoptera Kiowa Warrior,Krstičević: Ponosam sam na pilote helikoptera <strong>Kiowa Warrior</strong>,Kiowa Warrior,MISC,46,59,0,0.0,2.0,4.0,Sentiment - POZ,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,2.0
47692,"Lika bez struje, poplave u Omišu i Kninu, pijavica u Šestanovcu","Lika bez struje, poplave u <strong>Omišu</strong> i Kninu, pijavica u Šestanovcu",Omišu,LOC,27,32,0,2.0,4.0,0.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,4.0,6.0,0.0,2.0
67542,"Spektakularne snimke obilaze Hrvatsku! Sve gori, grad je proključao","Spektakularne snimke obilaze <strong>Hrvatsku</strong>! Sve gori, grad je proključao",Hrvatsku,LOC,29,37,0,0.0,2.0,4.0,Sentiment - POZ,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,2.0
110353,"Neymar zove Messija u PSG, ali Argentinac je već odlučio gdje nastavlja karijeru; velikan za njega nudi 100 milijuna eura i tri megazvijezde","<strong>Neymar</strong> zove Messija u PSG, ali Argentinac je već odlučio gdje nastavlja karijeru; velikan za njega nudi 100 milijuna eura i tri megazvijezde",Neymar,PER,0,6,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,2.0,4.0,Ton - POZ,6.0,6.0,5.0,4.0,2.0,1.0
40872,Raspad najomiljenije momčadi LP-a: Čudo od djeteta i Raiola sletjeli u Dortmund,Raspad najomiljenije momčadi <strong>LP</strong>-a: Čudo od djeteta i Raiola sletjeli u Dortmund,LP,MISC,29,31,0,0.0,6.0,0.0,Sentiment - NEUTR,4.0,2.0,0.0,Ton - NEG,6.0,6.0,6.0,4.0,2.0,0.0
1515,James Corden ponovno će biti domaćin dodjele nagrada Tony,James Corden ponovno će biti domaćin dodjele nagrada <strong>Tony</strong>,Tony,MISC,53,57,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,4.0,2.0,Ton - NEUTR,6.0,6.0,5.0,4.0,2.0,1.0
86509,"Mijatović: Vjerujem u Mihajlovića, želim mu sreću u Zagrebu","<strong>Mijatović</strong>: Vjerujem u Mihajlovića, želim mu sreću u Zagrebu",Mijatović,PER,0,9,0,0.0,4.0,2.0,Sentiment - NEUTR,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,2.0
47852,HRT platio milijun kuna fiktivnim članovima Orkestra,HRT platio milijun kuna fiktivnim članovima <strong>Orkestra</strong>,Orkestra,ORG,44,52,0,5.0,1.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
123532,"[FOTO] Modna revija u Zagrebu privukla brojna poznata lica: Iz prvih redova je pratile Indira, Lidija Bačić i Mia Kovačić","[FOTO] Modna revija u Zagrebu privukla brojna poznata lica: Iz prvih redova je pratile Indira, <strong>Lidija Bačić</strong> i Mia Kovačić",Lidija Bačić,PER,95,107,0,0.0,2.0,4.0,Sentiment - POZ,0.0,2.0,4.0,Ton - POZ,6.0,6.0,4.0,4.0,2.0,2.0
102792,"Odlazi Kuščević? Odlazi HNS? Puno je opcija, no jedna je najizglednija, riječ je o Plenkovićevu prokušanom receptu","Odlazi <strong>Kuščević</strong>? Odlazi HNS? Puno je opcija, no jedna je najizglednija, riječ je o Plenkovićevu prokušanom receptu",Kuščević,PER,7,15,0,2.0,4.0,0.0,Sentiment - NEUTR,2.0,4.0,0.0,Ton - NEUTR,6.0,6.0,4.0,4.0,2.0,2.0
103093,Turci slave 'otomanskog potomka' na čelu Velike Britanije,Turci slave 'otomanskog potomka' na čelu <strong>Velike Britanije</strong>,Velike Britanije,LOC,41,57,0,0.0,5.0,1.0,Sentiment - NEUTR,2.0,1.0,3.0,Ton - POZ,6.0,6.0,5.0,3.0,2.0,1.0
63666,Antun Ivanković: Ultimatum stranke koju je osnovao ratni zločinac Goran Hadžić – narod.hr,Antun Ivanković: Ultimatum stranke koju je osnovao ratni zločinac <strong>Goran Hadžić</strong> – narod.hr,Goran Hadžić,PER,66,78,0,6.0,0.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
42616,"Rekordni brojevi oboljelih diljem Europe, ali i u susjednoj Sloveniji i BiH","Rekordni brojevi oboljelih diljem Europe, ali i u susjednoj <strong>Sloveniji</strong> i BiH",Sloveniji,LOC,60,69,0,0.0,6.0,0.0,Sentiment - NEUTR,4.0,2.0,0.0,Ton - NEG,6.0,6.0,6.0,4.0,2.0,0.0
73930,"Prosječna plaća u Zagrebu viša u ožujku, i veća no u ostatku države","Prosječna plaća u <strong>Zagrebu</strong> viša u ožujku, i veća no u ostatku države",Zagrebu,LOC,18,25,0,0.0,0.0,6.0,Sentiment - POZ,0.0,1.0,5.0,Ton - POZ,6.0,6.0,6.0,5.0,1.0,0.0
137183,Saponia dogovorila suradnju s agencijom Bruketa&Žinić&Grey na brendovima Faks helizim i Ornel,<strong>Saponia</strong> dogovorila suradnju s agencijom Bruketa&Žinić&Grey na brendovima Faks helizim i Ornel,Saponia,ORG,0,7,0,0.0,2.0,4.0,Sentiment - POZ,0.0,0.0,6.0,Ton - POZ,6.0,6.0,4.0,6.0,0.0,2.0
98023,"Popularna SDP-ovka o stanju u stranci: Ovako ne ide, situacija je neodrživa!","Popularna <strong>SDP</strong>-ovka o stanju u stranci: Ovako ne ide, situacija je neodrživa!",SDP,ORG,10,13,0,2.0,1.0,3.0,Sentiment - POZ,6.0,0.0,0.0,Ton - NEG,6.0,6.0,3.0,6.0,0.0,2.0
25798,'Hribar bi trebao odgovarati za silne pronevjerene milijune','<strong>Hribar</strong> bi trebao odgovarati za silne pronevjerene milijune',Hribar,PER,1,7,0,6.0,0.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
131843,Ivan Perišić strijelac u Interovoj pobjedi protiv Genoe,Ivan Perišić strijelac u Interovoj pobjedi protiv <strong>Genoe</strong>,Genoe,ORG,50,55,0,1.0,4.0,1.0,Sentiment - NEUTR,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,1.0
60090,Kapetan Dinama poslao snažnu poruku: ‘Ne plašimo se Hajduka! A imamo samo jedan način za resetiranje...‘,Kapetan <strong>Dinama</strong> poslao snažnu poruku: ‘Ne plašimo se Hajduka! A imamo samo jedan način za resetiranje...‘,Dinama,ORG,8,14,0,0.0,2.0,4.0,Sentiment - POZ,0.0,0.0,6.0,Ton - POZ,6.0,6.0,4.0,6.0,0.0,2.0
96626,"Ivana Trump: 'Suosjećam s Melanijom, no ja sam se od Trumpa razvela istog trena kada sam doznala za prevaru'","<strong>Ivana Trump</strong>: 'Suosjećam s Melanijom, no ja sam se od Trumpa razvela istog trena kada sam doznala za prevaru'",Ivana Trump,PER,0,11,0,1.0,4.0,1.0,Sentiment - NEUTR,4.0,2.0,0.0,Ton - NEG,6.0,6.0,4.0,4.0,2.0,1.0
27945,Lauc: Te zabrane su potpuno promašene i nepotrebne,<strong>Lauc</strong>: Te zabrane su potpuno promašene i nepotrebne,Lauc,PER,0,4,0,1.0,5.0,0.0,Sentiment - NEUTR,4.0,2.0,0.0,Ton - NEG,6.0,6.0,5.0,4.0,2.0,1.0
50390,Mourinho se zakačio s igračem WBA-a: 'Ti si jedan običan Mickey Mouse igrač!',Mourinho se zakačio s igračem <strong>WBA-a</strong>: 'Ti si jedan običan Mickey Mouse igrač!',WBA-a,ORG,30,35,0,1.0,5.0,0.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
43003,"Ludnica u Bjelorusiji: BATE prosuo titulu, Šahtjor do naslova u sudačkoj nadoknadi","Ludnica u <strong>Bjelorusiji</strong>: BATE prosuo titulu, Šahtjor do naslova u sudačkoj nadoknadi",Bjelorusiji,LOC,10,21,0,0.0,6.0,0.0,Sentiment - NEUTR,1.0,2.0,3.0,Ton - POZ,6.0,6.0,6.0,3.0,2.0,0.0
116545,"Sergio Ramos u suzama se opraštao od Reala, a na kraju ga je provokativno pitanje dotuklo; ovakvu reakciju nitko nije očekivao...","Sergio Ramos u suzama se opraštao od <strong>Reala</strong>, a na kraju ga je provokativno pitanje dotuklo; ovakvu reakciju nitko nije očekivao...",Reala,ORG,37,42,0,1.0,3.0,2.0,Sentiment - NEUTR,5.0,1.0,0.0,Ton - NEG,6.0,6.0,3.0,5.0,1.0,2.0
121150,"Galić: I u Hrvatsku će se preliti fenomen masovnih otkaza, i to najviše u ovom sektoru. Poslodavci će morati poboljšati uvjete","<strong>Galić</strong>: I u Hrvatsku će se preliti fenomen masovnih otkaza, i to najviše u ovom sektoru. Poslodavci će morati poboljšati uvjete",Galić,PER,0,5,0,0.0,6.0,0.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
90609,Potvrđena optužnica u aferi 'Nadstrešnice',Potvrđena optužnica u aferi '<strong>Nadstrešnice</strong>',Nadstrešnice,MISC,29,41,0,5.0,1.0,0.0,Sentiment - NEG,5.0,1.0,0.0,Ton - NEG,6.0,6.0,5.0,5.0,1.0,1.0
121130,"Hajduk ide na najteže gostovanje; u Velikoj Gorici su 'bili' slavili samo jednom, a trener Dambrauskas ima poseban plan za Lovrića","<strong>Hajduk</strong> ide na najteže gostovanje; u Velikoj Gorici su 'bili' slavili samo jednom, a trener Dambrauskas ima poseban plan za Lovrića",Hajduk,ORG,0,6,0,0.0,6.0,0.0,Sentiment - NEUTR,1.0,5.0,0.0,Ton - NEUTR,6.0,6.0,6.0,5.0,1.0,0.0
46777,Nova snimka borbe azovaca i Rusa u čeličani. Ruski oligarh: Putin je smrtno bolestan,Nova snimka borbe azovaca i Rusa u čeličani. Ruski oligarh: <strong>Putin</strong> je smrtno bolestan,Putin,PER,60,65,0,5.0,1.0,0.0,Sentiment - NEG,4.0,1.0,1.0,Ton - NEG,6.0,6.0,5.0,4.0,1.0,1.0
41833,Sjedinjene Američke Države poslale Ukrajini suvremeni protutenkovski sustav,<strong>Sjedinjene Američke Države</strong> poslale Ukrajini suvremeni protutenkovski sustav,Sjedinjene Američke Države,LOC,0,26,0,0.0,1.0,5.0,Sentiment - POZ,0.0,2.0,4.0,Ton - POZ,6.0,6.0,5.0,4.0,2.0,1.0
55978,Hrvati će od lipnja s eReceptom lijekove moći podizati u EU,<strong>Hrvati</strong> će od lipnja s eReceptom lijekove moći podizati u EU,Hrvati,PER,0,6,0,0.0,4.0,2.0,Sentiment - NEUTR,0.0,1.0,5.0,Ton - POZ,6.0,6.0,4.0,5.0,1.0,2.0
103890,"Bernardić: HVIDRA je povezana s vrhom HDZ-a, čini se da hajka na SDSS dolazi iz same vladajuće koalicije","Bernardić: <strong>HVIDRA</strong> je povezana s vrhom HDZ-a, čini se da hajka na SDSS dolazi iz same vladajuće koalicije",HVIDRA,ORG,11,17,0,5.0,1.0,0.0,Sentiment - NEG,4.0,2.0,0.0,Ton - NEG,6.0,6.0,5.0,4.0,2.0,1.0
100593,Kuščević o aferi SMS: U HDZ-u nema podjela,Kuščević o aferi SMS: U <strong>HDZ</strong>-u nema podjela,HDZ,ORG,24,27,0,1.0,4.0,1.0,Sentiment - NEUTR,3.0,2.0,1.0,Ton - NEG,6.0,6.0,4.0,3.0,2.0,1.0
5552,Čehok se vraća s listom 'Glas za Varaždin': Ideologija nas ne zanima,Čehok se vraća s listom '<strong>Glas za Varaždin</strong>': Ideologija nas ne zanima,Glas za Varaždin,MISC,25,41,0,0.0,4.0,2.0,Sentiment - NEUTR,1.0,2.0,3.0,Ton - POZ,6.0,6.0,4.0,3.0,2.0,2.0
110985,"Josipa Rimac danas izlazi iz zatvora, evo što kaže odvjetnica","<strong>Josipa Rimac</strong> danas izlazi iz zatvora, evo što kaže odvjetnica",Josipa Rimac,PER,0,12,0,2.0,4.0,0.0,Sentiment - NEUTR,2.0,4.0,0.0,Ton - NEUTR,6.0,6.0,4.0,4.0,2.0,2.0
14573,Strašna prometna nesreća na A1: Poginule tri osobe,Strašna prometna nesreća na <strong>A1</strong>: Poginule tri osobe,A1,LOC,28,30,0,0.0,6.0,0.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,6.0,6.0,0.0,0.0
125252,Zbog Arene medvjede bi mogli baciti iz EBEL-a,Zbog Arene <strong>medvjede</strong> bi mogli baciti iz EBEL-a,medvjede,MISC,11,19,0,3.0,2.0,1.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,3.0,6.0,0.0,2.0
13451,Pošalji nam najzanimljiviju priču koju su doživjele tvoje stare tenisice i osvoji nove Reebok Club C,Pošalji nam najzanimljiviju priču koju su doživjele tvoje stare tenisice i osvoji nove <strong>Reebok Club C</strong>,Reebok Club C,MISC,87,100,0,0.0,1.0,5.0,Sentiment - POZ,0.0,2.0,4.0,Ton - POZ,6.0,6.0,5.0,4.0,2.0,1.0
36174,"Beckenbauer priznao da je slao novac FIFA-i, ali kaže da to nije mito","Beckenbauer priznao da je slao novac <strong>FIFA-</strong>i, ali kaže da to nije mito",FIFA-,ORG,37,42,0,5.0,1.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
17044,"Iz MUP-a dodatno objasnili tko se i kada bez testa i izolacije može vratiti u Hrvatsku iz Srbije, BiH i Crne Gore","Iz MUP-a dodatno objasnili tko se i kada bez testa i izolacije može vratiti u <strong>Hrvatsku</strong> iz Srbije, BiH i Crne Gore",Hrvatsku,LOC,78,86,0,0.0,6.0,0.0,Sentiment - NEUTR,0.0,6.0,0.0,Ton - NEUTR,6.0,6.0,6.0,6.0,0.0,0.0
25150,Američki nosač zrakoplova USS Harry S. Truman stigao u Split,Američki nosač zrakoplova USS Harry S. Truman stigao u <strong>Split</strong>,Split,LOC,55,60,0,0.0,5.0,1.0,Sentiment - NEUTR,0.0,5.0,1.0,Ton - NEUTR,6.0,6.0,5.0,5.0,1.0,1.0
83129,"Modrić presudio 'bluesu', Fulham šokirao Fergusona","Modrić presudio 'bluesu', <strong>Fulham</strong> šokirao Fergusona",Fulham,ORG,26,32,0,1.0,4.0,1.0,Sentiment - NEUTR,1.0,4.0,1.0,Ton - NEUTR,6.0,6.0,4.0,4.0,1.0,1.0
92480,SAD će zabraniti unošenje prijenosnih računala u zrakoplove na svim međunarodnim letovima?,<strong>SAD</strong> će zabraniti unošenje prijenosnih računala u zrakoplove na svim međunarodnim letovima?,SAD,LOC,0,3,0,5.0,1.0,0.0,Sentiment - NEG,6.0,0.0,0.0,Ton - NEG,6.0,6.0,5.0,6.0,0.0,1.0
119883,"Izraelci udarili na benzinske pumpe u Teheranu, Iranci uzvratili napadom na aplikacije za upoznavanje. Može li hakerski rat prerasti u pravi vojni sukob?","Izraelci udarili na benzinske pumpe u Teheranu, <strong>Iranci</strong> uzvratili napadom na aplikacije za upoznavanje. Može li hakerski rat prerasti u pravi vojni sukob?",Iranci,PER,48,54,0,2.0,3.0,1.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,3.0,6.0,0.0,2.0
124052,"Zbog velikih razlika u troškovima zaduživanja članica eurozone, ECB želi uvesti ograničenja: Trebaju se odrediti striktni uvjeti za pomoć","Zbog velikih razlika u troškovima zaduživanja članica eurozone, <strong>ECB</strong> želi uvesti ograničenja: Trebaju se odrediti striktni uvjeti za pomoć",ECB,ORG,64,67,0,2.0,3.0,1.0,Sentiment - NEUTR,6.0,0.0,0.0,Ton - NEG,6.0,6.0,3.0,6.0,0.0,2.0
59243,"Radić favorit za gradonačelnika, a za većinu u Vijeću HDZ-u će trebati ‘žetončići‘ kao i u parlamentu","Radić favorit za gradonačelnika, a za većinu u <strong>Vijeću</strong> HDZ-u će trebati ‘žetončići‘ kao i u parlamentu",Vijeću,ORG,47,53,0,1.0,5.0,0.0,Sentiment - NEUTR,5.0,1.0,0.0,Ton - NEG,6.0,6.0,5.0,5.0,1.0,1.0
